time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.004096000000000004,0.004288000000000011,0.0041474000000000155,0.004128000000000043,7.178746408670526e-05,0.0,0.0,0.0,0.0,0.0,0.07871899999999994,0.08057600000000002,0.07944740000000003,0.07926200000000005,0.0006846764491349286,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,6,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.00432000000000005,0.004543999999999983,0.004435200000000009,0.004447999999999979,7.733149423098499e-05,0.0,0.0,0.0,0.0,0.0,0.08492899999999987,0.086202,0.08556779999999997,0.085764,0.00046301723510043215,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,7,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004319999999999937,0.004384000000000015,0.004345400000000018,0.00432000000000005,3.1110126968567894e-05,0.0,0.0,0.0,0.0,0.0,0.09485100000000012,0.09634299999999996,0.09589580000000006,0.09612700000000007,0.0005397360095453824,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,8,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004159999999999968,0.004224000000000046,0.0041917999999999895,0.004190999999999917,2.8624465060539086e-05,0.0,0.0,0.0,0.0,0.0,0.10143799999999999,0.10348800000000018,0.10201540000000002,0.101726,0.0007458996179112227,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,9,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004128000000000043,0.004256000000000085,0.004198400000000038,0.004192000000000007,5.119999999998846e-05,0.0,0.0,0.0,0.0,0.0,0.1122550000000001,0.11359699999999998,0.11292659999999999,0.113154,0.0005260564988667689,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,10,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004224000000000046,0.004351999999999976,0.004256200000000035,0.004224000000000046,4.957580054822412e-05,0.0,0.0,0.0,0.0,0.0,0.11980999999999994,0.12067200000000003,0.12031339999999999,0.12041499999999997,0.00033967019298138915,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,11,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004128000000000043,0.004192000000000007,0.004179200000000015,0.004192000000000007,2.5599999999985704e-05,0.0,0.0,0.0,0.0,0.0,0.12560300000000008,0.12841600000000006,0.12683780000000006,0.12684600000000013,0.0009393494344492004,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,12,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004351999999999976,0.004447999999999979,0.004402999999999975,0.004414999999999964,3.255764119219205e-05,0.0,0.0,0.0,0.0,0.0,0.13091499999999998,0.132991,0.13226340000000003,0.13232000000000016,0.0007425702929689743,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,13,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004129000000000019,0.004224000000000046,0.004185799999999995,0.004192000000000007,3.70102688452758e-05,0.0,0.0,0.0,0.0,0.0,0.13846300000000009,0.14044500000000004,0.13963480000000006,0.13971400000000017,0.000721390989685912,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,14,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004255999999999972,0.004447999999999979,0.004339200000000006,0.00432000000000005,6.893010953131924e-05,0.0,0.0,0.0,0.0,0.0,0.1584960000000001,0.16223800000000005,0.16010860000000005,0.1599670000000001,0.0014553129697765681,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,15,0,3136,False,AttentionBackend.FLASHINFER
